"Minute","PrivMB","GpuLocalMB","GpuDedicMB"
"0","0","167","174.5"
"0.5","0","167","174.5"
"1","0","167","174.5"
"1.5","0","167","174.5"
"2","0","167","174.5"
"2.5","0","174.5","174.5"
"3","0","174.5","174.5"
"3.5","0","174.5","174.5"
"4","0","174.5","174.5"
"4.5","0","174.5","174.5"
"5","0","167","174.5"
"5.5","0","167","174.5"
"6","0","167","174.5"
"6.5","0","167","174.5"
"7","0","167","174.5"
"7.5","0","167","174.5"
"8","0","167","174.5"
"8.5","0","167","174.5"
"9","0","167","174.5"
"9.5","0","167","174.5"
"10","0","167","174.5"
"10.5","0","167","174.5"
"11","0","167","174.5"
"11.5","0","167","174.5"
"12","0","167","174.5"
"12.5","0","167","174.5"
"13","0","174.5","174.5"
"13.5","0","174.5","174.5"
"14","0","174.5","174.5"
"14.5","0","174.5","174.5"
"15","0","167","174.5"
"15.5","0","167","174.5"
"16","0","167","174.5"
"16.5","0","167","174.5"
"17","0","167","174.5"
"17.5","0","167","174.5"
"18","0","167","174.5"
"18.5","0","167","174.5"
"19","0","167","174.5"
"19.5","0","167","174.5"
"20","0","167","174.5"
"20.5","0","167","174.5"
"21","0","167","174.5"
"21.5","0","167","174.5"
"22","0","167","174.5"
"22.5","0","174.5","174.5"
"23","0","174.5","174.5"
"23.5","0","174.5","174.5"
"24","0","174.5","174.5"
"24.5","0","174.5","174.5"
"25","0","165","174.5"
"25.5","0","165","174.5"
"26","0","165","174.5"
"26.5","0","165","174.5"
"27","0","165","174.5"
"27.5","0","165","174.5"
"28","0","165","174.5"
"28.5","0","165","174.5"
"29","0","165","174.5"
"29.5","0","165","174.5"
"30","0","165","174.5"
"30.5","0","165","174.5"
"31","0","165","174.5"
"31.5","0","165","174.5"
"32","0","165","174.5"
"32.5","0","165","174.5"
"33","0","165","174.5"
"33.5","0","174.5","174.5"
"34","0","174.5","174.5"
"34.5","0","174.5","174.5"
"35","0","174.5","174.5"
"35.5","0","174.5","174.5"
"36","0","167","174.5"
"36.5","0","167","174.5"
"37","0","167","174.5"
"37.5","0","167","174.5"
"38","0","167","174.5"
"38.5","0","167","174.5"
"39","0","167","174.5"
"39.5","0","167","174.5"
"40","0","167","174.5"
"40.5","0","167","174.5"
"41","0","167","174.5"
"41.5","0","167","174.5"
"42","0","167","174.5"
"42.5","0","167","174.5"
"43","0","167","174.5"
"43.5","0","167","174.5"
"44","0","174.5","174.5"
"44.5","0","174.5","174.5"
"45","0","174.5","174.5"
"45.5","0","174.5","174.5"
"46","0","167","174.5"
"46.5","0","167","174.5"
